,name,price_per_night,rating_overall,rating_cleanliness,rating_accuracy,rating_communication,rating_location,rating_check_in,rating_value,num_listing_reviews,num_host_ratings,host_response_rate,host_joined_months_ago,num_guests,num_bedrooms,num_beds,num_baths,superhost,borough,property_type,wifi,air_conditioning,heating,kitchen
605,A place where rest and relaxation comes easy,53,4.92,4.9,4.8,5.0,4.9,4.9,4.9,37,73,100,28,2,1,1,2.0,0,brooklyn,private room,1,1,1,1
606,Hipster's Haven @ The Carriage House on Dean,120,4.67,4.6,4.8,4.8,4.8,4.8,4.6,12,190,99,61,4,2,2,2.0,1,brooklyn,private room,1,1,1,0
607,Bedroom w/Private Bath,99,4.89,4.9,4.9,4.9,4.6,5.0,4.8,160,160,100,105,2,1,1,2.0,1,brooklyn,private room,1,1,1,1
608,Room with En Suite Bathroom & Deck,133,4.48,4.4,4.7,4.7,4.7,4.7,4.6,479,1190,100,134,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
609,Two bedroom apartment in Brooklyn/Bed Stuy,92,4.46,4.2,4.5,4.8,4.5,4.8,4.4,98,105,100,46,2,2,3,1.0,0,brooklyn,private room,1,1,1,1
610,Discounted - Entire Pre-War Home 1 Minute To Train,122,4.55,4.6,4.6,4.8,4.8,4.7,4.6,129,159,100,52,3,1,1,1.0,0,brooklyn,apartment,1,1,1,1
611,Luxury Two Bedroom Pied-à-Terre in Park Slope,350,5.0,5.0,5.0,5.0,5.0,5.0,4.7,3,3,84,71,4,2,2,1.0,0,brooklyn,private room,1,1,1,1
612,"Red Autumn House LLC, 2nd Floor",124,4.88,4.6,4.9,4.9,4.8,5.0,4.9,52,69,100,26,4,2,2,1.0,1,brooklyn,apartment,1,1,1,1
613,Bhakta,145,4.67,4.6,4.6,4.8,4.7,4.7,4.6,9,9,94,13,4,1,1,1.0,0,brooklyn,apartment,1,1,1,1
614,"Avenue L,  your Home away from Home.",107,4.93,5.0,4.9,5.0,4.9,5.0,5.0,151,151,100,38,2,1,2,1.0,1,brooklyn,house,1,1,1,1
615,Heart of Bushwick 2 minutes to the L train,55,4.7,4.5,4.8,5.0,4.9,4.9,4.8,76,212,100,82,2,1,1,1.0,1,brooklyn,private room,1,1,1,1
616,Williamsburg Penthouse Guestroom,150,4.68,4.7,4.7,4.8,4.8,4.8,4.7,578,1137,100,99,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
617,Enjoy great views of the City!,163,4.23,4.4,4.3,4.4,4.9,4.4,4.2,757,1315,88,30,2,1,1,1.0,0,brooklyn,hotel,1,1,1,0
618,"Huge, Clean Brooklyn Room with lots of light",81,4.84,4.8,4.8,4.8,4.6,4.9,4.7,73,73,100,86,2,1,2,1.0,1,brooklyn,private room,1,1,1,1
619,Private Room#3 in Beautiful Bay Ridge,48,5.0,5.0,5.0,5.0,4.9,5.0,5.0,47,143,100,26,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
620,"Good Access to Everywhere:)Bushwick, Brooklyn NY",51,4.4,4.8,4.7,4.6,4.7,4.7,4.6,130,178,93,52,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
621,Sonder at Battery Park | Studio in Financial District,265,4.65,4.8,4.8,4.6,4.8,4.7,4.6,552,5283,90,34,2,0,1,1.0,0,brooklyn,apartment,1,1,1,1
622,Bohemian Jungle with Private Bathroom in Bushwick,112,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8,8,100,104,2,1,1,1.0,0,brooklyn,private room,1,1,1,1
623,Chic & Clean 1 Bedroom - Prospect Park - Pets Ok,175,4.72,4.9,4.9,4.9,4.9,4.9,4.7,205,248,100,89,4,1,1,1.0,1,brooklyn,house,1,1,1,1
624,Brooklyn's Finest - UL,157,4.97,4.9,5.0,5.0,5.0,5.0,4.8,63,258,100,68,4,1,1,1.0,1,brooklyn,apartment,1,1,1,1
625,Sunny bedroom in Greenpoint/Williamsburg Brooklyn.,80,5.0,5.0,5.0,5.0,4.9,5.0,5.0,7,9,100,103,2,1,1,1.5,0,brooklyn,private room,1,1,1,1
626,Williamsburg Hidden Gem,199,4.75,4.8,4.9,5.0,4.7,4.9,4.7,141,415,100,102,2,1,1,1.0,1,brooklyn,apartment,1,1,1,1
